AA_ABREV,WOLS870101,WOLS870102,WOLS870103,AROM1
-,0,0,0,0
A,-0.263397976,-0.469162152,0.239952725,0
R,-0.146332209,-0.481269562,-0.869262703,0
N,1.297478918,-1.135069722,-0.835307129,0
D,1.336500841,-0.650773307,-1.039040575,0
C,0.907259695,0.087778725,1.043567985,0
Q,-0.185354131,-1.207714184,-0.280699415,0
E,-0.49752951,-0.638665897,-0.971129426,0
G,-1.746231026,-1.122962311,-0.541025485,0
H,0.82921585,-0.469162152,-0.744758931,0
I,-1.82427487,1.480130917,0.545552894,0
L,-0.965792578,0.644719602,2.560250306,0
K,-0.224376054,0.184638008,-1.02772205,0
M,0.399974704,0.220960239,1.926412918,0
F,0.946281617,1.23798271,1.122797658,1
P,0.087799325,1.153230837,-0.235425315,0
S,0.321930859,-1.147177132,0.002263705,0
T,-0.263397976,-1.147177132,-0.144877117,0
W,1.102369307,2.000749563,-0.224106791,1
Y,0.712150083,1.068478965,-0.654210732,1
V,-1.82427487,0.390463984,0.126767478,0
X,0,0,0,0
